# 植物: 竹や木の骨組みをスギ・ヒノキなどの青葉で包んだ門。緑門。, 野球: 野球で、ホームランのこと。アーチをかける。, 交通: 上方が半円形をなす構造物。家の入口、橋、トンネルなど。せりもち。
交通	アーチ	更倉小学校の北にあるという煉瓦のアーチ橋は、道路を走っていては全く分からなくて探すのに苦労したが、春の町3丁目と尾倉1丁目の境の、道路の左側がいきなり開けて市道が立体交差しているところがその場所だった
交通	アーチ	アーチを飾っていたも地盤が吹っ飛び地面に落ち、煉瓦の壁も粉々になるが、一般のゲームのように破片はゲーム世界から消失せずに、道路上にバラバラと散らばりそこにのこり続けるのだ
交通	アーチ	1929(昭和4)年に建設された6連アーチが素晴らしい道路橋梁で、当初の計画が良かったのでしょう、構造が堅牢であり、そして車道の広さも十分あることから、今も新潟市を代表する交通の要衝です
その他	アーチ	マットのボールは、重力のボディ部に基づいて低しゃがんだのマットボール前方プレス完全前に、上半身を移動し続けて、カンタヤオは、顔に腕に近いボールの肩、脚、膝の内側の内側にアーチを崩壊拡張では、両手でボールを持ってアリスの腕の動きで虎の口の部分を舗装する
交通	アーチ	明治時代を代表する建物「鹿鳴館」スタイルのアーチ型の窓が湯船を囲み、碁板の目のように仕切られた浴槽の底には大小の玉石が敷き詰められ、その隙間から源泉が滾々と沸き出している【写真5】
その他	アーチ	「アーチファクトの除去・抜歯シミュレーション・骨補填を行った、より臨床的インプラント埋入モデルへの有限要素解析ソフトVOXELCONの適用」:日本顎咬合学会
野球	アーチ	お立ち台とまではいきませんでしたが西岡は逆方向へのヒットを含む2安打に2四球で盗塁も決めましたし、今江も今季初アーチと期待通りの活躍を見せてくれました
野球	アーチ	ザトペック投法の村山、江夏の奪三振ショー、田淵の芸術的アーチ、藤田平の広角打法、上田次郎のサブマリン投法、カークランドの怪力、遠井と池田の渋く勝負強いバッティング
その他	アーチ	アーチの左側の花壇では黒花フウロソウが背高のっぽに背伸びしながら、ワインチョコレート色のシックな小花を満開に咲かせている中で、空中ブランコを楽しんでいる子は誰でしょう
野球	アーチ	さらにワイルドピッチで2点目を献上した後、安打で出たランナーをおいて相手7番打者が末永のカーブを左中間深く、推定95メートルの大アーチをかけ、一気に1点差に詰め寄る
野球	アーチ	セントルイス・カーディナルズのフェルナンド・タティース内野手は23日、ドジャースタジアムで行われた対LA戦の3回に満塁アーチを2本放ち、同一イニングにグランドスラム2本を記録した初の選手となった
交通	アーチ	現在は、国道4号の橋となり、関東大震災後の1927(昭和2)年に架けられたアーチ橋と、増大する交通をさばくため1973(昭和48)年に加えられた桁橋の2本が並ぶ
その他	アーチ	シクラメンの和名に「カガリビバナ(篝火花)」というのがありますが、これは日本に入ってきた初期のシクラメンの品種は、花茎が長くアーチ状に弧を描き、その先に炎のような赤い花をつける様子にちなんだものといわれます
野球	アーチ	これまで14試合HRが出ていなかった信彦会長が、4回にセンターバックスクリーン横へ先制アーチをたたき込んでくれて、昨日の立役者・ズレータがレフトへ中押しの4号2ランなど、打つべき人がしっかりと打ち、投げては先発の杉内俊哉が9回130球3安打12奪三振の力投で今季チーム初完封
野球	アーチ	この場面での継投は妥当だが、いかんせん勢いづいた和智弁打線相手にしかも無死満塁での登板と大変なところで9番・西川をセカンドゴロにしとめたものの押し出しで7点目そして芝田の2点タイムリーに3番・勝谷のセンターバックスクリーンへぶちこむ特大アーチであえなくKO・・・・・
交通	アーチ	2010年までに三原市本郷町と同市大和町の約10Km区間を暫定開通させる予定であるが、途中県道瀬野川福富本郷線と山陽本線が並走する沼田川の渓谷を鋼アーチ橋で跨ぐ「空港大橋」(仮称)が建設中で、完成すれば橋長800m、地上高190mの大規模な橋になる[6]が、山陽本線の車窓から眺めることができる
野球	アーチ	初回表、2死1・2塁から、佐賀北・諸隈に右前タイムリーを打たれ、1点を先制されるが、その裏、2塁にヒットの大河原を置き、松浦が甲子園通算900号の記念アーチを放ち、逆転に成功
野球	アーチ	ここから一気に白星街道に乗りたい所だったが、いきなり片岡に4号先頭打者アーチを 3点を追うヤクルトは7回、一死二、三塁から代打・上田が走者一掃のタイムリー二塁打を放ち佐々木内閣の成立とともに、球団は前ヤクルトの伊勢孝夫コーチを ヘッド兼打撃コーチとして、前阪神の有田修三コーチをバッテリー コーチとして招へいした
交通	アーチ	アーチ型のトンネルの中にネズミさんが吊るされているので 子猫達はそれに夢中で しかもそのトンネルと空き缶入れの隙間から出入りできることが判明 そんな様子をジッとみていたスフレちゃん
交通	アーチ	パネリストは山田代表、道遺産の旭橋を守り語り継ぐ「旭橋を語る会」(旭川)の海老子川雄介若手幹事、道遺産の旧国鉄士幌線の橋りょう群の保存活動などに取り組む「NPOひがし大雪アーチ橋友の会」(上士幌)の角田久和事務局長、白鳥大橋の建設に携わった橋本幸・北海道開発局道路建設課道路技術対策管、道トライアスロン連合の森谷直樹常任理事
交通	アーチ	1143年に着工されたピーサ・ロマネスク様式の典型的教会で、写真では判別が難しいがファサード上部の四層の開口連続アーチは動物模様の繊細な象嵌細工で装飾されており、また柱の一つひとつに異なる彫刻が施されている
その他	アーチ	私の一番好きな「ニシキギアーチ」がすべての方にお見せしたいほどの美しい・・ ・・ きみどり・・色・・です♪ ニシキギはど~こにでもある低木で紅葉の美しい木
交通	アーチ	内部は太湖を模した築山で、明るく透き通るような感じで、青竹・樹木・草花のなかに見え隠れする亭・軒・アーチ橋とあいまって、幽雅な雰囲気を醸し、「乾隆小花園」とか「園中の園」とかいわれる
野球	アーチ	『野球は9回から』『野球は2OUTから』といっても、さすがに春日部共栄がここから勝つシナリオを考えると、どーしても「まさかのソロアーチ4本連続」とか「埼玉栄終盤にきてエラー連発」とか、ありえない単細胞な妄想しか浮かんでこなかった
その他	アーチ	ここ何試合かはあまり跳び上がらないセットシュート気味の3ポイントが目立った小菅ですが、ここでは今までのような高いジャンプで、しかしアーチは緩くリラックスした感じのシュートが決まります
交通	アーチ	連続アーチが美しい現在の十三大橋は、旧能勢街道を府県道大阪池田線として拡幅整備するのに伴い、1930(昭和5)年1月に着工し、同7年1月にに架け替えられたものである
その他	アーチ	現地に到着するやいなや、大きな虹の歓迎アーチで迎えてくれたロッキーの山々は、何処も日本のどこかで出会ったことがあるような花や全く初めて見る花で一杯だった
その他	アーチ	『アーチ上部に多く花を咲かせたいとき』アーチの柱になる部分は、枝をまっすぐ伸ばすことによってアーチ上部の横向きの枝にだけ頂芽優勢が働き、上部にのみ無数の花をつけます
その他	アーチ	Q3 買ってきたツルバラを、アーチに這わせるつもりで植えたのですが、春には、いくつかの花が咲きましたが、なかなか、シュートと呼ばれる枝が伸びずに短いままです
