# 乗り物: 交通機関が多く集まり、人の乗り降りが多い所。鉄道の終点。バスターミナルターミナルデパート, コンピュータ: コンピュータの端末（機）。, 空港: 空港で、種種の事務のための施設が集まっている場所。
空港	ターミナル	さらに、12月3日から5日まで、「羽田空港観光プロモーション」が羽田空港第1旅客ターミナル フェスティバルコートで行われ、本場ならではの大迫力のなまはげが再登場します
乗り物	ターミナル	特に、今回初めての試みとなった駅周辺における「応急救護訓練」や、帰宅困難者の「避難誘導訓練」は、大規模集客施設を持つターミナルの地域特性を反映して、極めて実践的な訓練となりました
空港	ターミナル	2社はハバロフスク国際空港ターミナルを建設・運営する「キヤマ・アビア」と、本道資本が参加して「ホテルさっぽろ」を経営するアムール・トレーディング
乗り物	ターミナル	屋外型の広場で、外周部と中央部にバスバースが、南寄りにターミナルビル「つくばターミナル」やタクシープールが、外周部の北西寄りにつくば駅の出入口(A3、A4、エレベーター)がある
乗り物	ターミナル	静岡県最大の人口を持つ浜松をターミナルとする鉄道で、全線単線ながら12分間隔の運転を行っており、CTCもかなり早い時期に導入、車両も新車両が多く入線しており、地方民鉄としては非常にレベルが高い路線です
空港	ターミナル	本船積み出し月の約1ヶ月前、特定された農家に受け渡し通知を入れ、ターミナルエレベーターもしくはリバーサイドエレベーターまで農家所有のトラックで持ち込む
コンピュータ	ターミナル	SQL 2005サーバー搭載の最新バージョン8シリーズでは、WindowsCEが搭載されたモバイルハンディターミナルとの連携も強化され、より使いやすく、より高機能に
乗り物	ターミナル	アスンシオンはターミナルのインフォで聞いて、市内はずれにある植物園に行くといいです、市内バスがくねくねと町中を走ってから植物園に着くので市内観光にもなります
乗り物	ターミナル	でも、2000年問題が騒がれ始めた同じころ、その杉原さんを含め敏腕フロア長などがごそっとダイエーに転職したり、YKKと呼ばれるヤマダ、コジマ、K’sなどの郊外型大量展示、最低価格保証を売りにした家電量販店や、駅前の再開発に伴ってターミナル駅前進出を広げたヨドバシカメラなどの攻勢により、秋葉原で「物品を買う」という必然性が下がっていったようです
コンピュータ	ターミナル	データは暗号機経由でDTS(データ・ターミナル・セット)に入力され、デジタル・アナログ変換、プロトコル管制、エラー検知がなされた後、無線通信機で送信され、逆ルートをたどって受信される
乗り物	ターミナル	平成18年6月、りんくうターミナル(大阪府)内で輸入生花を専門に取り扱う「りんくうフラワーセンター」を開設、同7月、第4原木ターミナル(千葉県)で医療機器製造業・化粧品製造業の許可を取得し、販売の体制を整えた
