# 福祉: 保護収容施設。老人ホーム, 野球: 野球の本塁。ホームベース, 家庭: 家庭。また、故郷。, 鉄道: 「プラットホーム」の略。
家庭	ホーム	マリブのホームグランドでもある伊豆で一番多くのダイバーがエントリーするこのエリアは、湾内・外海・先端のビーチポイントと2つのボートポイントが点在している
鉄道	ホーム	最近駅ホーム屋根の撤去や私も好きだった駅弁屋さんが事情により撤退しなんだか寂しくなった名寄駅ですが、まだ駅内には売店もありますし、待合室にテレビもあるので結構楽しめます
鉄道	ホーム	甲子園駅のホームに下りたつや否や目の前を関高のKのマークのついた野球帽をかぶって「お宅も、一高ですか・・・」などと話しながら歩く年配の男性2人に遭遇駅を出ると、球場前の高速道路高架下に「一関一高」ののぼりとともに大勢のOBの姿(みんなKの野球帽に紺のVメガホン)、驚き、妙にうれしく、ちょっとだけ恥ずかしく、でも心強く感じました
鉄道	ホーム	駅のホームでは、下に落ちているフンに気付いてふと見上げると2方向に向いている『スピーカー』の間、10cmほどのすきまに渡っているケーブルに1羽が眠っていました
野球	ホーム	しかし、ホームのベースカバーに入った田中は嶋からの返球を受けると、同じく1塁から2塁ベースを回り、3塁を狙おうとしていた福留をアウトにしようと2塁へ送球
その他	ホーム	と入力した場合は、そこがホームと最初は思うのだが、何回かリンクをたどって他のぺージへ移動してみる、また検索で、たまたまホームページではないページからアクセスし入っていくというような場合、特に見分けがつかず混乱するようだ
家庭	ホーム	(最近、習慣化してきてます) 今年はシカゴベアーズがプレイオフ進出とプレイオフをホームでの試合を決め、プロボールにも4名の選手が選出されたので、高校時代以来、20年振りのスーパーボール出場か、という状況に興奮気味です
家庭	ホーム	ホームビデオで何の技巧もなく撮られた映像の向こうにいたのは、取材対象者や被験者という存在ではなく、普段から顔を付き合わせているヌーラやハサンやリハームやムハンマドであって、それ以外ではなかったこと
鉄道	ホーム	りんくうタウン駅−関西空港駅間はJRと南海電鉄が線路を共有している(空港会社による第三種鉄道事業)が、関西空港駅のホームと出改札はそれぞれ独立している
福祉	ホーム	第二部は、老人ホーム施設長、社会福祉士、府中市役所の福祉サービス関係及び介護保険関係の職員の方、リーガルサポート東京支部所属司法書士がパネラーとして参加して、パネルディスカッションが行われた
