# サッカー: （サッカーなどの）ゴールの支柱。ゴール　ポスト。●はｐｏｓｔ, 郵便: 郵便ばこ。特に、郵便物を出すためのもの。郵便ポスト, 企業: 地位。職。持ち場。重要なポストにつく
その他	ポスト	ヤマトグループのヤマトロジスティクス株式会社(本社:東京都中央区・代表取締役社長 小川悦男)は、オフィスから日常的に出される機密文書を「安全・確実」に処理できる「機密文書セキュアリサイクルパック プロテクトポスト便」を発売いたしますのでお知らせします
その他	ポスト	韓国政府は、ポスト京都期間のより厳しい気候要求に備えて、環境に優しい技術の 研究開発に今後5年間で20億ドルを費やす計画である、と火曜日に述べた
企業	ポスト	再建途上のカネボウの粉飾決算での厳格とも云える監理ポスト入り判断で金融庁と揉めており、17日に東証社長が記者会見で『虚偽記載に関する上場廃止基準は、市場の信頼性の根幹にかかわる』として慎重な判断をとの考えを示していたこと、そして西武鉄道と違い一般投資家の多い小田急ということも考慮されたとはいえ、東証に対しても厳しい声があることから、決して楽観はできないでしょう
郵便	ポスト	【ポスト】メールボックス ポーチ★送料・代引無料★ 南フランス風のデザインで、レンガや塗り壁の洋風住宅との相性がよくガーデニングされた庭にピッタリな郵便受け(郵便ポスト)です
企業	ポスト	給料について、本書では一切とりあげられてはいませんが、責任の重さや、リーダーシップの発揮を期待されているポストにふさわしい待遇についても論じて欲しいものです
その他	ポスト	また細胞の癌化やウイルス感染などにも関係することが分かってきたことから、ライフサイエンス分野における次世代ポストゲノム研究として、 糖鎖科学が注目されています
その他	ポスト	ただ、ポストオフィスという各国の船がそれぞれの国から持ち寄った手紙を置いて、 自分達の行き先の国宛の手紙を持っていき投函するという場所がある(写真左)
サッカー	ポスト	おばファンさんの書き込みにレスポンスしようと、26年前の筑波博の企画、~21世紀のあなたに届ける夢の郵便~「科学万博ポストカプセル 2001」をネットでちょっとだけ調べようと思ったのですが、ちょっとでは済まなくなりました
サッカー	ポスト	左ポストにぶつかったボールをGK払いきれず失点した平塚、12の再三の強力シュートは相手GKにはじかれるが、センタリングが直接決まりドローに持ち込む
郵便	ポスト	インターネットに帯域を提供している通信業者にとっては切実かもしれないが、それをいうなら郵便事業だって同じだ ( ポストに直接放り込むやつは別として )
