# 手芸: 細くて糸のようなもの。柳の糸（＝若芽の枝）糸桜糸みみずくもの糸納豆が糸を引く, 音楽: いとを張った楽器。琴・瑟など。, 音楽: 琴・三味線などの弦。二の糸が切れる転じて、琴・三味線のこと。●は↓いとたけ。, 釣り: 釣り糸。糸をたれる
釣り	糸	木で出来てるきのこ(大)の先に糸とフックがついていて、それを使って木で出来てるきのこ(小)の先についてるフックにかけ釣る、要はおもちゃの魚釣りと同じですわ)
その他	糸	一瀉千里の勢いとでも言えばよいのでしょうか、何となくホラーノベルを思わせるようなおどろおどろしい書き出しから最後の590ページまでを緊張の糸を緩めることなく読み手を捉えて離さない著者の物語構成の上手さには、改めて感心しました
その他	糸	また、糸を綿糸か絹糸にすると、環境への影響は最小にすることが出来ますが、フライをロストしない(失わない)ような釣り方をするのが望ましいのが言うまでもありません
その他	糸	■世界的にも評価の高い音響派ユニット「映糸」や音響謎謎ジャズバンド「トラディショナルスピーチ」のメンバーを母体に、自身のルーツに立ち返り結成されたカントリー・パブ・ロック・バンド
その他	糸	15世紀頃までには、フランドル(現在のオランダの一部、ベルギー西部、フランス北部)やイタリアのヴェネツィアで、ボビンに糸を巻いてブレードを編む方法が考案されていた[1][2][3]
その他	糸	「私の名前はキム・サムスン」の監督キム・ユンチョル、「コーヒープリンス」のキム・ジェウク、「花男」のキム・ジュン、「赤い糸」の南沢奈央、豪華スタッフ・キャスト勢揃いの決定版
その他	糸	以来、水嶋はこの絹糸から生まれる音に魅せられ、糸の張り方、チューニング、演奏方法、共鳴体の材質、PA装置などを研究し、試行錯誤の末、徐々に繊細な音楽を奏でるようになりました
その他	糸	この糸電話の演奏スタイルを“ストリングラフィ(STRINGRAPHY)”と名付け、現在では数人でアンサンブルを組み、オリジナル曲から雅楽、クラシック、ポップス、現代音楽、童謡、民謡など、幅広いレパートリーを演奏するようになったのです
その他	糸	1902年(明治35年)、広澤徳三郎が東京から和装組紐の技術を習得、帯締や羽織ひもの組技術を持ち帰り、郷里の上野市上林で江戸組紐の糸組工場を設立、以後、伊賀組紐の産地として大きく発展、全国産額の大半を占めるようになった
音楽	糸	「さわり」の機構を持つ楽器は琵琶など他にもあるが、三味線の特徴は一の糸のみに「さわり」がついているにもかかわらず、二の糸や三の糸の特定の押さえる場所にも(調弦法により変化する)、共鳴によって同様の効果をもつ音があることである
その他	糸	緊張の糸が解けぬ和さんの可憐なビブラート奏法は 本人は気恥ずかしがっていたが聴衆の胸をくすぐる 媚薬作用があり とても印象深く残る出来事であった
その他	糸	なんとこのバイオカイトという凧は、凧糸じゃなくて、釣り糸のような細い糸を、これまた釣りのリールのようなもので巻き取ったり、ゆるませたりしたりしながら揚げる
その他	糸	JUKIの電子ミシン/電動ミシン・JUKIのコンピュータミシン・世界のコンピューターミシン・2本糸/3本糸・4本・5本糸ロック ミシン・力強い職業用・工業用ミシン・ブラザーのコンピューターミシン・ブラザーの電子ミシン
その他	糸	恵一が魔法騒動の黒幕と判明した後は、虹色の糸を切ろうとする恵一のキスを防ぐために、歌の代わりに恵一と男同士のキスをしてしまい、大事な何かを無くしてしまったとトラウマを負いながらも、この場は歌を守りきった
手芸	糸	Sound Cafe dzumiでかかったオリジナルLPでは、ソプラノの軋み、トランペットの掠れ、ベースが指板の上で立てるスクラッチ、シンバルの倍音等の間に、まるでテグス糸のように精妙に張り巡らされた響きの連なりを聴くことができた
釣り	糸	水深約50mの深場で糸をおろすと、すぐに真アジの25cmが上がり始め、30cm超がWで(2匹)釣れる等、食べごろクラスのアジが、暫くは入れ食い状態で30匹ほど釣れました
釣り	糸	【セット内容】本体、糸こまキャップ、ドライバー、針板ドライバー、針3本(#14×3)、ボビン(3個)、ブラシ付きシームリッパー、ミシン油、BH縫い押え、スーパーラウンドロック、ソフトカバー、電源コード、カラー12色セット、取扱説明書、取り扱い説明ビデオ、保証書
その他	糸	5曲レビューしますが、一つ一つの内容はその分ちょっと薄いかもしれません(汗) 新垣結衣「赤い糸」 コブクロの名曲をガッキーがカバーしたという話題の作品
釣り	糸	釣り糸選びはとても大切で、太い方が丈夫で良いと思っている人もいますが太い糸は風や水の流れの影響を受けやすく魚のアタリが解りずらくなるので釣りにくくなります
釣り	糸	又浮きが海中にユックリ入っていく、今度は道糸が走るまで辛抱バチバチと音をたて道糸が出て行く糸を止め気味に合わせるとガツンといきなり竿に乗ってくる
その他	糸	心障者の純粋で自由な感性と緻密な作業を継続して行うことの出来る才能を生かし、約300色の刺しゅう糸を使い一針一針布に刺して図柄を描いたスウェーデン刺しゅうと土佐つむぎを組み合わせた手提げバッグ等の袋物をひまわり工房9人の仲間が心を込めて作りました
その他	糸	日本各地の伝統繊維や染色技術に目を向け、その原材料の植物栽培から染料を抽出して染色を行う活動や、羊毛、原毛からフェルトや糸を紡ぎ、編む、織るなどして作品制作につなげる活動を行います
その他	糸	まずは、ミシン縫合がされていた箇所(縫合部分の上下)について通常の縫合針と黒い糸で本返縫いを行い、 次に、本返縫いを行った部分を上下交互に通すような感じで毛糸布用の縫合針と黒い糸3本で切れ目を縛っていきます
