# 空港: 航空機の翼。, 軍事: 本隊の左右にある部隊。, 空港: 鳥のつばさ。虫のはね。飛行機のはね。, 動物: 鳥類の（本来は）空中を飛ぶための器官。はね。, 鳥: 親鳥がはねでかばう。力をかす。たすける。
その他	翼	まずはシュリー翼のルーヴルの遺構を見て、ギリシア・ローマ彫刻のあいだをすり抜け、ドゥノン翼1階(日本の2階)のルネサンス・バロック期のイタリア絵画を堪能
その他	翼	その外観は巨大であり頭部はタコのようであり、顔面には無数の蝕椀を生やし、胴体はゴム状で鱗に覆われ、手足には鉤爪をもち、背中には蝙蝠のような細長い翼を生やした存在
その他	翼	前にも書いたように、コミックス版を読むことでかなり『リーンの翼』の理解は助けられるのですが、こうやって見るとけっこう細かいところで違いはあるんですね
その他	翼	今回名作として特集されたのは大きなサファイヤを羽が取り巻く米倉涼子さんがジュエリーデザイナー役を演じたテレビドラマの記者発表会で使用された「アリダンジェラ」(天使の翼)
空港	翼	飛行機の窓から翼を見ていると乗ってみたい気分になる人は多いと思うが、ホントにジェット旅客機の翼の上に乗って目的地のモスクワまで2時間のフライトを耐え切った少年がいるそう
その他	翼	平成17年10月 ユーエフジェイつばさ証券株式会社との合併により、UFJつばさビジネスサービス株式会社、株式会社UFJつばさ研究所、UFJつばさハンズオンキャピタル株式会社(現商号はエム・ユー・ハンズオンキャピタル株式会社)、日聯飛翼証券亞州有限公司(現商号は三菱UFJセキュリティーズ(香港))が子会社となる
その他	翼	労働者階級の戦闘的翼は、社共の議会主義路線、カクマルの組合主義、経済主義路線との真の対決なしには、労働運動の革命的、戦闘的前進をかちとることができないことを、七四春闘ゼネストの生きた経験をとおして実践的、理論的に学びはじめたのである
動物	翼	何故、私の意識に、鳳凰が卵を産み落としたり、両腕の翼を拡げて、全てを支えたりする感覚が訪れたりするのか、其の原因は、私の意識自体に、鳳凰の存在が繋がっているからなのだろう
空港	翼	(1)嘴が太くて会合線は白っぽく、特に基部では白色部が三角形にやや膨らみ目立つ傾向がある、(2)頭部の黒色部は光沢がある(喉も同様とされるが野外での確認は困難)、(3)足(ふ蹠)が太い、(4)趾がささくれだっている(野外では確認が困難)、(5)翼を畳んだ時は一様な色に見え、次列風切部が特に白っぽくは見えない、(6)尾は角尾で先が丸く見えない(ただし摩耗などにより丸く見えることもある)
その他	翼	」という言葉に本人の自覚はなかったけれど、読む人が、ページを繰っていくうちに自然に自分の翼に気がつくような、捕らわれから解き放たれて自由になるような、そんな画集にしたいと企画
空港	翼	機体デザインも、下翼機の主翼の上に二機のエンジンナセルを搭載するという空力的タブーに挑戦したばかりでなく、それによって通常より効率の良い空気の流れを実現、結果として燃費の良さを招いている
その他	翼	太陽の王子 ホルスの大冒険、ルパン三世(TVシリーズ第1作)、ルパン三世 カリオストロの城、宇宙戦艦ヤマト(TVシリーズ第1作)、ガンバの冒険、機動戦士ガンダム(TVシリーズ第1作)、未来少年コナン、風の谷のナウシカ、AKIRA、王立宇宙軍 オネアミスの翼、機動警察パトレイバー(OVA、劇場版第1・2作)、トップをねらえ
空港	翼	電動機の回転数の減少、制振機構の多重化、7翼ハイスキュード・スクリューなどの採用により、海上自衛隊の潜水艦にとって積年の課題であった静粛性は大幅に向上し、うずしお型に始まる日本の対潜潜水艦の技術及び運用のレヴェル(とりわけ静粛性)は、本級の整備によって、ようやくNATO軍潜水艦部隊の水準に並ぶに至る
空港	翼	主翼は可変後退翼を採用しており、外翼部分の後退角を20度(離着陸用)、30度(巡航用)、50度(低空高速飛行時)、60度(高空超音速飛行時)の4段階に調節できる
その他	翼	翼さんといい、ミッチェル、さらにベイリーといい、このゆったりとした中にもうねるような強いグルーブ感のある演奏に思わず自然に身体を揺らしてしまう
その他	翼	いつ頃からかは定かではないが翼による人格更正用プログラムを受けさせられていたらしく、その兆候が「かれんビー」では顕著に見られ翼のことを恐れている節がある
空港	翼	2006年9月に米軍が発表した「グアム統合軍事開発計画」に、海兵隊航空部隊とともにグアムに移転してくる最大67機の回転翼機(ヘリコプター)などのための格納庫、駐機場、離着陸地(ヘリパッド)を建設すると書いてある
動物	翼	その姿は赤い毛皮、コウモリのような皮膜の翼、サソリのような毒針が無数(24本と数がはっきりしているものや、太い1本というものもある)に生えた節のある長い尾、そして3列に並ぶ鋭い牙を持つ人面のライオンの形態をした怪物である
その他	翼	国最古の地理書『山海経』では、「西山経」四の巻で、ハリネズミの毛が生えた牛で、邽山(けいざん)という山に住み、犬のような鳴き声をあげ、人間を食べるものと説明しているが、「海内北経」では人食いの翼をもったトラで、人間を頭から食べると説明している
その他	翼	昼夜を問わず時速300キロ飛行でき、目標を見つけると目の前に降り立ち、相手を翼で押さえつけながらもう片方の手の鋭い爪で腹部を貫き、更にその際相手の内臓を消滅させて死亡させるアンノウン犯罪能力を持つが、外観からはその異様な状況が見えないのでイマイチインパクトが薄い
その他	翼	その時のメンバーは、戦士系が前田、現戦士鍛錬所教官の大島 清吾、元13期生戦士の飯島 桜、罠解除士が現罠解除士鍛錬所教官の森下 翼、僧侶が元11期生の内田 佳奈美、そして魔術師が本田という部隊構成であった
動物	翼	私の場合、鳥みたいに羽ばたくのは、感覚的に何となく納得できるんだけど、翼で浮くというのは、例え科学的に納得できても観念として納得できそうにありません(笑)
空港	翼	世界初の前進翼ジェット機 高速爆撃機として開発されたが1944年に連合軍の爆撃で試作機が失われ、45年には再び作った試作機もソ連軍の手に落ちた
その他	翼	個人的には「十三翼の戦い(ダラン・バルジュドの戦い、またはクルテンの戦い)」という呼び方がかっこ良くて好きなのですが、2つの戦闘を組み合わせてしまったため、この会戦の呼び名を決めがたくなっていたのが残念
軍事	翼	「我々は、憲法に忠実な二つの派閥の存在が政権の助けになっていると信じている・・・(二つの派閥、つまり保守派と改革派は鳥の)二つの翼のように機能し(政権の)飛行を可能にしている・・・互いに競争し、かつ進歩的な雰囲気の中で・・・我々は憲法を信じない者たち、また国民の指導にあたる政権を信じない者たちを許さない・・・適切な中庸のアプローチは改革主義者の保守主義である」
空港	翼	コクピットは777と同様にCRT6面の完全なグラスコクピットとなっており、主翼、尾翼は翼面責を増大、特に主翼は新設計の主翼となり、翼端にはオプションで燃費の向上と離陸性能のアップをはかることができるブレンデッドウイングレットを装着可能
空港	翼	この回転翼安全装置一個には約五百マイクロキュリーのストロンチウム90が含まれておりまして、未発見の一個は墜落した機体の燃焼、溶解で気化した可能性が高く、識別が不可能である
その他	翼	あるいは、神明町の町内会長以下96名をもって平成13年6月4日付けで提出いたしました、翼小学校南の農業用排水路暗渠化の要望の件も、着手時期は未定ながら、なんとか平成15年度中の完成を目指す方向
その他	翼	「ユニオン、AEU、人類革新連盟が協力してソレスタルビーイングのガンダム4機を鹵獲する為に砂漠に誘い出す」「機動戦士ガンダム00第15話折れた翼」「
その他	翼	ちなみにクトゥルフの姿形は「タコに似た頭部、イカのような触腕を無数に生やした顔、巨大な鉤爪のある手足、ぬらぬらした鱗に覆われた山のように大きなゴム状の身体、背にはコウモリのような細い翼を持つ
その他	翼	広島東洋カープの中谷翼選手(元愛媛MP)と千葉ロッテマリーンズの角中勝也選手(元高知FD)が、7月19日(木)松山・坊っちゃんスタジアムで開催されるフレッシュオールスターゲーム2007「ウエスタン・リーグ選抜対イースタン・リーグ選抜」の出場候補選手に、選出されました
空港	翼	自動車のサージの解析、無線アンテナとルーフの電波伝搬特性、航空機機体外の翼の構造解析、機内での電波伝搬特性、RFマイクロ波回路、導波管、フィルタ、MEMS回路、EMC/EMI、リフレクタ・アンテナ、アンテナ・ビーム・ステアリング等の電磁界解析が高速で計算処理が行える
その他	翼	正式な発掘調査が昭和26年から28年にかけて行われ、その結果、洞窟内の凝灰岩の壁に、角・翼を持った動物の仮装をした人物像、舟と漁師、狩人、魚、四足獣や海獣のようなものなど、なんと609点に及ぶ彫刻が発見されたのです
その他	翼	・・でこれはですね・・例の掛け声なのですが・・一応つばサンタ裏ビデオ後なんで・・ まぁ・・翼くん的には「タッキー」と言ってほしかったみたいで・・2回めの時2階の方みながら いったのですが・・結果は9割「翼ぁ~っ」で1割が「タッキーっ」と・・聞こえました
その他	翼	PTAと飛翔の会、これ、おやじの会ですが、で翼小学校区家庭教育推進協議会をつくり、翼地区公民館を仲立ちとして、学区町内会や子供会、そしてNPO高浜翼会と連携して、子供が健やかに成長するために、「子育て十か条」を作成をいたしました
その他	翼	細身の人間体型のドラゴンにソレワターセ(植物)が巻きついて融合したような不気味な姿をしており、胸部にソレワターセ素体の目、背中にコウモリのような翼、後頭部と腰にそれぞれ太く長い尻尾がある
空港	翼	オーストラリア・シドニー発フィリピン・マニラ行きの「カンタス航空」機は2日、離陸直後に翼から油圧系統のオイルが漏れているのがわかったため、空港に引き返して緊急着陸した
動物	翼	ただし実施に関しては、除草、害虫防除効果が必ずしも安定しない場合があり、また野犬等の外敵対策、アイガモが逃げないように翼を折ったり柵で囲う、またアイガモの飼育に手間がかかるため、実施には技術が要求される
